"Age (in completed years)","Gender","Marital status","Place of current residence","Highest educational qualification completed before first migration","Field of study before migration (if applicable)","Did you obtain any formal educational qualification obtained abroad?","If yes, level of qualification obtained abroad","Country where qualification was obtained","Did you obtain any certification or skill development course abroad","If yes, what is the qualification","Did you pursue any further education or certification after returning","If yes, type of education","If yes, type of education/Degree program","If yes, type of education/Professional certification","If yes, type of education/Skill development course","Field/area of the education","Have you ever lived abroad for at least 6 months","If yes, Primary reason for going abroad","Country/countries of stay abroad","Total duration of stay abroad (in years)","Years of return to India","What is your age at return to India (in years)","Main reason for returning India","Did you work while abroad","Total years of work experience abroad","Type of work performed abroad","I acquired job-relevant technical skills during my stay abroad","I improved my digital and technology-related skills abroad","My communication and language skills improved due to foreign exposure","I developed adaptability and problem-solving skills while abroad","I received formal training or certification abroad useful in India","My foreign-acquired skills are transferable to the Indian labour market","Are you currently employed?","Time taken to find first job after return(months)","How did you find your first job after returning to India","How did you find your first job after returning to India/Family or friends","How did you find your first job after returning to India/Former foreign employer / contacts","How did you find your first job after returning to India/Online job portals","How did you find your first job after returning to India/Recruitment agencies","How did you find your first job after returning to India/Government employment office","How did you find your first job after returning to India/Self-employed / started own business","How did you find your first job after returning to India/Still unemployed","What is your current occupation?","Is your current job formal or informal","Did you switch to another job from the first job you entered after returning","If yes, what is your first job","If yes, Compared to your first job after return, your previous job is","Are you currently running a business","If yes, field of business","What was the main source of funds for starting this business?","What was the main source of funds for starting this business?/Personal savings earned abroad","What was the main source of funds for starting this business?/Family or Friends","What was the main source of funds for starting this business?/Bank loan/ Microfinance/ NBFC","What was the main source of funds for starting this business?/Govt schemes/ subsidy","What was the main source of funds for starting this business?/Other","How long have you been in your current Job","Does your business currently employ any paid worker?","If yes, how many paid worker you have","Are the workers employed by your business mostly","Do you have franchisee in abroad","Current monthly income","Are you aware there are government programs which helps the return migrants","Did you register with any employment exchange or government job portal after returning","Have you received any government support after returning? (Multiple responses allowed)","Have you received any government support after returning? (Multiple responses allowed) / Skill training","Have you received any government support after returning? (Multiple responses allowed) /Employment assistance","Have you received any government support after returning? (Multiple responses allowed) /Financial support","Have you received any government support after returning? (Multiple responses allowed) /None","Government programs helped me integrate into the labour market","To what extent are you able to use your foreign-acquired skills in your current job","My current job matches my skill level","My current job provides stable and secure employment","My employer values my foreign education or work experience","I see clear opportunities for career growth in my current job","Overall, I feel well integrated into the Indian labour market","What were the main difficulties you faced in finding suitable employment in India","What were the main difficulties you faced in finding suitable employment in India/Non-recognition of foreign qualifications","What were the main difficulties you faced in finding suitable employment in India/ Lack of suitable job opportunities","What were the main difficulties you faced in finding suitable employment in India/ Low wages offered","What were the main difficulties you faced in finding suitable employment in India/Skill mismatch","What were the main difficulties you faced in finding suitable employment in India/ Lack of networks","What were the main difficulties you faced in finding suitable employment in India/ Regional mismatch","What were the main difficulties you faced in finding suitable employment in India/None","Do you have any plan to go back abroad in future"
55,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",15,2024,50,"End of work contracts","Yes",15,"Construction sector",2,2,5,2,1,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"Yes","Agriculture","Personal savings earned abroad",1,0,0,0,0,"6-1 year","Yes","1-2","Both family and non-family hired workers","No",30000,"Yes","No","None",0,0,0,1,"Disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
44,"Male","Married","Rural","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Iran",6,2017,40,"Better job opportunities in India","Yes",4,"Driver",3,1,3,3,2,3,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Recruitment agency","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","5-10","Both family and non-family hired workers","No",65000,"Yes","No","None",0,0,0,1,"Neither agree nor disagree",5,5,5,5,5,5,"None",0,0,0,0,0,0,1,"No"
65,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",40,2022,61,"End of work contracts","Yes",35,"Manager",5,4,4,4,3,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"Yes","Agriculture","Family or Friends Personal savings earned abroad",1,1,0,0,0,"6-1 year","No",NA,NA,"No",32000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
65,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",32,2020,55,"Family or personal reasons","Yes",28,"Business",5,5,5,5,4,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Finance company","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Non-family hired workers","No",70000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Non-recognition of foreign qualifications",1,0,0,0,0,0,0,"No"
67,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",28,2020,60,"End of work contracts","Yes",28,"Domestic work",4,3,4,4,5,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Social work","Formal","No",NA,NA,"No","Social activist","Other",0,0,0,0,1,"More than 3 years","No",NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,3,4,4,4,4,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
68,"Male","Married","Semi-urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",26,2018,60,"End of work contracts","Yes",28,"Domestic work",4,3,4,3,3,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Mobile shop",NA,NA,NA,NA,NA,NA,"More than 3 years","Yes","1-2","Family members","No",40000,"Yes","No","None",0,0,0,0,"Disagree",2,2,2,2,2,2,"Low wages offered",0,0,1,0,0,0,0,"No"
40,"Female","Married","Urban","Post-graduation","Mca","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",9,2021,35,"Family or personal reasons","Yes",9,"Teacher",5,5,5,4,4,5,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Teacher","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,35000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,3,3,3,3,3,"Low wages offered",0,0,1,0,0,0,0,"Yes"
65,"Male","Married","Urban","Under-graduation","Btech","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",23,2020,50,"End of work contracts","Yes",23,"Manager",4,4,4,4,4,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Super market","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","No",NA,NA,NA,55000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,3,3,3,3,3,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
67,"Male","Married","Urban","Under-graduation","Bcom","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",36,2018,59,"End of work contracts","Yes",32,"Banking and Finance",4,4,4,4,5,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Travell company","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Both family and non-family hired workers","No",70000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,3,3,3,3,3,"None",0,0,0,0,0,0,1,"No"
69,"Female","Married","Urban","Under-graduation","Nursing","Yes","Other","Oman","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",30,2019,57,"Family or personal reasons","Yes",30,"Nurse",5,4,5,3,5,5,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"No","Travell company","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",NA,NA,NA,NA,NA,"More than 3 years","Yes","1-2","Both family and non-family hired workers","No",55000,"Yes","No","None",0,0,0,1,"Strongly disagree",3,3,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
65,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",15,2019,58,"Family or personal reasons","Yes",1,"Driver",3,2,5,3,4,5,"Yes",6,"Government employment office Family or friends",1,0,0,0,1,0,0,"Driver","Formal","Yes","Private driver","Better","No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,4,4,"None",0,0,0,0,0,0,1,"No"
56,"Male","Married","Rural","Under-graduation","Bcom","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",12,2018,45,"Family or personal reasons","Yes",12,"Banking and Finance",5,4,5,5,5,5,"Yes",12,"Online job portals",0,0,1,0,0,0,0,"Accountent","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,25000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Low wages offered  Regional mismatch",0,0,1,0,0,1,0,"No"
46,"Male","Married","Rural","Under-graduation","BA","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2015,35,"End of work contracts","Yes",10,"Shop assistant",4,1,4,4,2,4,"Yes",24,"Family or friends Recruitment agencies",1,0,0,1,0,0,0,"Security","Formal","Yes","Business","Better","No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,20000,"Yes","No","Financial support",0,0,1,0,"Disagree",4,4,4,4,3,4,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
42,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",14,2023,40,"Family or personal reasons","Yes",14,"Driver",4,3,4,3,4,4,"Yes",14,"Family or friends Online job portals",1,0,1,0,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3 years",NA,NA,NA,NA,25000,"Yes","No","Financial support",0,0,1,0,"Disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
56,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",8,2024,48,"Family or personal reasons","Yes",8,"Domestic work",4,2,4,2,3,4,"Yes",1,"Self-employed / started own business",0,0,0,0,0,1,0,"Domestic work","Informal","No",NA,NA,"Yes","Nill","Personal savings earned abroad",1,0,0,0,0,"1-3 years","No",NA,NA,"No",15000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,3,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
57,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",22,2018,50,"Family or personal reasons","Yes",22,"Business",5,5,5,5,4,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"No","Agriculture","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","No",NA,NA,"No",25000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Skill mismatch",0,0,0,1,0,0,0,"No"
49,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",14,2018,40,"Family or personal reasons","Yes",14,"Driver",4,3,5,3,3,4,"Yes",1,"Self-employed / started own business",0,0,0,0,0,1,0,"Shop assistant","Informal","Yes","Driver","Better","No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
56,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",12,2020,50,"Covid 19 or other external shocks","Yes",12,"Superviser",4,4,4,3,2,4,"Yes",24,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Stationary","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","No",NA,NA,"No",25000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
54,"Male","Married","Semi-urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",23,2025,53,"Family or personal reasons","Yes",23,"Manager",5,4,5,4,3,5,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Bakery","Personal savings earned abroad",1,0,0,0,0,"Less than 6 months","No",NA,NA,"No",38000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
65,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",19,2021,50,"End of work contracts","Yes",19,"Construction sector",2,1,4,3,1,4,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Medical store","Personal savings earned abroad",1,0,0,0,0,"1-3 years","No",NA,NA,"No",30000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
40,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",15,2023,38,"Family or personal reasons","Yes",15,"Domestic work",3,3,4,3,2,4,"Yes",12,"Family or friends",1,0,0,0,0,0,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
62,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",6,2020,50,"Family or personal reasons","Yes",6,"Manager",4,3,4,3,3,4,"Yes",12,"Online job portals",0,0,1,0,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,20000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered Skill mismatch",0,0,1,1,0,0,0,"No"
67,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",6,2018,50,"End of work contracts","Yes",6,"Construction sector",3,4,4,4,2,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Driving instructer","Informal","No",NA,NA,"Yes","Vehicle","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"1-3 years","Yes","3-5","Non-family hired workers","No",50000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
65,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2017,40,"Family or personal reasons","Yes",10,"Govt service",4,4,4,4,4,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Agricultural work","Informal","No",NA,NA,"No","Agriculture","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","No",NA,NA,"No",30000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
65,"Male","Married","Semi-urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2020,25,"Family or personal reasons","Yes",10,"Driver",3,3,4,4,3,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Cement shop","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","1-2","Both family and non-family hired workers","No",50000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,4,4,"Low wages offered  Regional mismatch",0,0,1,0,0,1,0,"No"
45,"Male","Married","Urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",10,2021,42,"Covid 19 or other external shocks","Yes",10,"Mechanic",4,4,4,4,2,4,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Workshop","Personal savings earned abroad Bank loan/ Microfinance/ NBFC Govt schemes/ subsidy",1,0,1,1,0,"1-3 years","Yes","3-5","Non-family hired workers","No",80000,"Yes","No","Financial support",0,0,1,0,"Agree",5,4,4,4,5,5,"Lack of networks  Regional mismatch",0,0,0,0,1,1,0,"No"
56,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",15,2022,50,"Family or personal reasons","Yes",15,"Manager",5,5,5,3,2,5,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Food products","Bank loan/ Microfinance/ NBFC Govt schemes/ subsidy Personal savings earned abroad",1,0,1,1,0,"1-3 years","Yes","5-10","Both family and non-family hired workers","No",80000,"Yes","No","Financial support",0,0,1,0,"Agree",5,5,5,4,5,5,"Low wages offered  Regional mismatch  Lack of suitable job opportunities",0,1,1,0,0,1,0,"No"
30,"Female","Married","Semi-urban","Higher secondary",NA,"Yes","Under-graduation","China","Yes","Medical related","No",NA,NA,NA,NA,NA,"Yes","Both study and work","China",7,2025,29,"Better job opportunities in India","Yes",2,"Doctor",5,5,5,4,5,5,"Yes",3,"Government employment office",0,0,0,0,1,0,0,"Doctor","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,65000,"Yes","Yes","Employment assistance",0,1,0,0,"Agree",5,5,3,4,3,4,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
32,"Male","Married","Semi-urban","Higher secondary",NA,"Yes","Under-graduation","MBBS","Yes",NA,"Yes","Degree program",1,0,0,"MD","Yes","Both study and work","China",7,2022,28,"Better job opportunities in India","Yes",1,"Doctor",5,5,5,5,4,5,"Yes",6,"Online job portals Recruitment agencies",0,0,1,1,0,0,0,"Doctor","Formal","Yes","Contract doctor in govt hospital","Better","No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,1e+05,"No","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Regional mismatch  Lack of networks",0,0,0,0,1,1,0,"Not sure"
46,"Female","Married","Rural","Under-graduation","Bsc nursing","No",NA,NA,"Yes","Medical","No",NA,NA,NA,NA,NA,"Yes","Employment","UK",10,2018,38,"Better job opportunities in India","Yes",9,"Nurse",5,4,5,4,5,5,"Yes",6,"Government employment office",0,0,0,0,1,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,45000,"Yes","Yes","Employment assistance",0,1,0,0,"Agree",5,5,5,4,4,5,"Low wages offered",0,0,1,0,0,0,0,"No"
38,"Male","Married","Semi-urban","Post-graduation","12","Yes","Under-graduation","UK","Yes","Engeneering","Yes","Degree program",1,0,0,"Mtech","Yes","Higher education","UK",12,2018,28,"Completion of studies","Yes",4,"Engineer",5,5,5,4,4,5,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Engineer","Formal","Yes",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,80000,"No","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,4,5,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
56,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",10,2020,50,"Covid 19 or other external shocks","Yes",10,"Construction sector",3,2,4,3,1,3,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Farmer","Informal","No",NA,NA,"No","Nill","Bank loan/ Microfinance/ NBFC",0,0,1,0,0,"More than 3 year","No",NA,NA,"No",30000,"Yes","No","None",0,0,0,1,"Strongly disagree",2,2,3,1,2,2,"Skill mismatch  Lack of suitable job opportunities Non-recognition of foreign qualifications",1,1,0,1,0,0,0,"No"
30,"Female","Married","Urban","Under-graduation","Bcom","Yes","Post-graduation","Oman","Yes","ACCA","No",NA,NA,NA,NA,NA,"Yes","Family reasons","Oman",7,2025,29,"Family or personal reasons","Yes",2,"Banking and Finance",5,5,5,4,5,5,"Yes",2,"Online job portals",0,0,1,0,0,0,0,"Accountant","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,60000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,4,5,4,4,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"Yes"
32,"Male","Married","Urban","Secondary or below",NA,"Yes","Under-graduation",NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Family reasons","Oman",10,2020,29,"Family or personal reasons","Yes",5,"Banking and Finance",5,5,5,5,5,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Financial assistant","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,80000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,4,5,3,3,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"Not sure"
28,"Male","Single","Urban","Higher secondary",NA,"Yes","Under-graduation",NA,"No",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Family reasons","Oman",8,2022,26,"Family or personal reasons","Yes",1,"IT sector",4,5,5,5,4,4,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Accountant","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,50000,"No","No","None",0,0,0,1,"Strongly disagree",3,4,4,3,4,4,"Lack of suitable job opportunities  Low wages offered Skill mismatch",0,1,1,1,0,0,0,"Not sure"
55,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Qatar",5,2011,41,"Family or personal reasons","Yes",5,"Construction sector",3,1,4,2,1,3,"Yes",12,"Family or friends",1,0,0,0,0,0,0,"Temple priest","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"No","No","None",0,0,0,1,"Strongly disagree",1,1,4,1,4,4,"Non-recognition of foreign qualifications    Lack of suitable job opportunities Skill mismatch",1,1,0,1,0,0,0,"No"
45,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",10,2020,40,"End of work contracts","Yes",9,"Domestic work",4,3,5,2,4,5,"Yes",12,"Family or friends",1,0,0,0,0,0,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,3,4,3,3,"Low wages offered Non-recognition of foreign qualifications",1,0,1,0,0,0,0,"No"
30,"Male","Married","Rural","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Singapore",5,2025,29,"Family or personal reasons","Yes",3,"Domestic work",2,1,4,1,1,3,"No",NA,"Family or friends",1,0,0,0,0,0,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,22000,"No","No","None",0,0,0,1,"Strongly disagree",1,1,1,1,3,1,"Low wages offered Skill mismatch  Lack of networks  Lack of suitable job opportunities",0,1,1,1,1,0,0,"Not sure"
28,"Male","Single","Semi-urban","Higher secondary",NA,"Yes","Under-graduation","UK","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Higher education","UK",7,2024,26,"Completion of studies","Yes",2,"Shop assistant",3,3,5,3,2,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Informal","No",NA,NA,"Yes","Retailer",NA,NA,NA,NA,NA,NA,"Less than 6 month","No",NA,NA,NA,30000,"No","No","None",0,0,0,1,"Strongly disagree",3,3,3,3,3,3,"Low wages offered  Lack of suitable job opportunities  Lack of networks",0,1,1,0,1,0,0,"Yes"
26,"Female","Single","Urban","Higher secondary",NA,"Yes","Under-graduation","Australia","Yes",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Higher education","Australia",5,2025,25,"Completion of studies","No",0,"Nill",2,4,5,4,2,5,"Yes",6,"Online job portals",0,0,1,0,0,0,0,"Analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,45000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,5,4,5,5,5,"Low wages offered  Lack of networks  Regional mismatch",0,0,1,0,1,1,0,"Not sure"
35,"Male","Married","Urban","Under-graduation",NA,"Yes","Post-graduation","USA","Yes",NA,"Yes","Professional certification",0,1,0,NA,"Yes","Both study and work","USA",6,2022,34,"Better job opportunities in India","Yes",3,"Corporate",5,5,5,4,4,5,"Yes",4,"Online job portals",0,0,1,0,0,0,0,"Teaching profession","Formal","Yes","Corporate","Better","No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,1e+05,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"No"
29,"Female","Single","Urban","Under-graduation",NA,"Yes","Post-graduation","czechia","Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","Czechia",6,2025,28,"Family or personal reasons","Yes",3,"Banking and Finance",5,5,5,5,5,4,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Analyst","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,37000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,3,4,4,3,"Lack of suitable job opportunities  Low wages offered  Lack of networks",0,1,1,0,1,0,0,"Yes"
